age,balance,campaign,cons.conf.idx,cons.price.idx,contact,data_source,day,day_of_week,default,duration,education,emp.var.rate,euribor3m,housing,job,loan,marital,month,nr.employed,pdays,poutcome,previous,y,contact_frequency,previous_campaign_success,age_group,has_economic_data,duration_category
58,2143.0,1,,,unknown,bank-full,5.0,,no,261,tertiary,,,yes,management,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,pre_retirement,0,medium
44,29.0,1,,,unknown,bank-full,5.0,,no,151,secondary,,,yes,technician,no,single,may,,-1,unknown,0,no,first_contact,no_previous_contact,middle_aged,0,short
33,2.0,1,,,unknown,bank-full,5.0,,no,76,secondary,,,yes,entrepreneur,yes,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,adult,0,short
47,1506.0,1,,,unknown,bank-full,5.0,,no,92,unknown,,,yes,blue-collar,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,middle_aged,0,short
33,1.0,1,,,unknown,bank-full,5.0,,no,198,unknown,,,no,unknown,no,single,may,,-1,unknown,0,no,first_contact,no_previous_contact,adult,0,medium
35,231.0,1,,,unknown,bank-full,5.0,,no,139,tertiary,,,yes,management,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,adult,0,short
28,447.0,1,,,unknown,bank-full,5.0,,no,217,tertiary,,,yes,management,yes,single,may,,-1,unknown,0,no,first_contact,no_previous_contact,young_adult,0,medium
42,2.0,1,,,unknown,bank-full,5.0,,yes,380,tertiary,,,yes,entrepreneur,no,divorced,may,,-1,unknown,0,no,first_contact,no_previous_contact,middle_aged,0,long
58,121.0,1,,,unknown,bank-full,5.0,,no,50,primary,,,yes,retired,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,pre_retirement,0,very_short
43,593.0,1,,,unknown,bank-full,5.0,,no,55,secondary,,,yes,technician,no,single,may,,-1,unknown,0,no,first_contact,no_previous_contact,middle_aged,0,very_short
41,270.0,1,,,unknown,bank-full,5.0,,no,222,secondary,,,yes,admin.,no,divorced,may,,-1,unknown,0,no,first_contact,no_previous_contact,middle_aged,0,medium
29,390.0,1,,,unknown,bank-full,5.0,,no,137,secondary,,,yes,admin.,no,single,may,,-1,unknown,0,no,first_contact,no_previous_contact,young_adult,0,short
53,6.0,1,,,unknown,bank-full,5.0,,no,517,secondary,,,yes,technician,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,middle_aged,0,long
58,71.0,1,,,unknown,bank-full,5.0,,no,71,unknown,,,yes,technician,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,pre_retirement,0,short
57,162.0,1,,,unknown,bank-full,5.0,,no,174,secondary,,,yes,services,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,pre_retirement,0,short
51,229.0,1,,,unknown,bank-full,5.0,,no,353,primary,,,yes,retired,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,middle_aged,0,long
45,13.0,1,,,unknown,bank-full,5.0,,no,98,unknown,,,yes,admin.,no,single,may,,-1,unknown,0,no,first_contact,no_previous_contact,middle_aged,0,short
57,52.0,1,,,unknown,bank-full,5.0,,no,38,primary,,,yes,blue-collar,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,pre_retirement,0,very_short
60,60.0,1,,,unknown,bank-full,5.0,,no,219,primary,,,yes,retired,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,pre_retirement,0,medium
33,0.0,1,,,unknown,bank-full,5.0,,no,54,secondary,,,yes,services,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,adult,0,very_short
28,723.0,1,,,unknown,bank-full,5.0,,no,262,secondary,,,yes,blue-collar,yes,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,young_adult,0,medium
56,779.0,1,,,unknown,bank-full,5.0,,no,164,tertiary,,,yes,management,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,pre_retirement,0,short
32,23.0,1,,,unknown,bank-full,5.0,,no,160,primary,,,yes,blue-collar,yes,single,may,,-1,unknown,0,no,first_contact,no_previous_contact,adult,0,short
