iter	Passed	Remaining
0	70	6981
1	91	4475
2	111	3615
3	131	3157
4	149	2848
5	169	2652
6	189	2523
7	209	2404
8	231	2342
9	254	2288
10	274	2222
11	294	2157
12	314	2106
13	336	2065
14	354	2008
15	374	1964
16	394	1927
17	414	1889
18	435	1854
19	454	1819
20	474	1783
21	494	1754
22	513	1720
23	534	1693
24	555	1667
25	575	1637
26	595	1608
27	614	1581
28	637	1561
29	659	1538
30	681	1517
31	701	1491
32	722	1467
33	744	1444
34	767	1424
35	785	1396
36	805	1371
37	825	1347
38	846	1324
39	866	1299
40	884	1272
41	904	1249
42	925	1227
43	945	1203
44	967	1182
45	987	1159
46	1008	1137
47	1028	1114
48	1069	1113
49	1088	1088
50	1108	1064
51	1129	1042
52	1149	1019
53	1170	997
54	1190	974
55	1211	951
56	1229	927
57	1250	905
58	1271	883
59	1290	860
60	1310	837
61	1330	815
62	1349	792
63	1370	771
64	1390	748
65	1408	725
66	1428	703
67	1449	682
68	1468	659
69	1487	637
70	1506	615
71	1528	594
72	1549	573
73	1569	551
74	1588	529
75	1607	507
76	1626	485
77	1649	465
78	1670	444
79	1690	422
80	1710	401
81	1729	379
82	1751	358
83	1774	337
84	1796	317
85	1816	295
86	1835	274
87	1854	252
88	1874	231
89	1895	210
90	1914	189
91	1934	168
92	1955	147
93	1974	126
94	1994	104
95	2012	83
96	2032	62
97	2050	41
98	2085	21
99	2110	0
