iter	Logloss
0	0.6563315015
1	0.6248121678
2	0.5961681116
3	0.5726990405
4	0.5493592532
5	0.5305942006
6	0.5130101903
7	0.4983782238
8	0.4835282416
9	0.4732385458
10	0.4620986928
11	0.4550333727
12	0.4437453255
13	0.4375322585
14	0.4301500606
15	0.4235788165
16	0.4177125921
17	0.413274717
18	0.4089986081
19	0.405244864
20	0.4011573069
21	0.3972474503
22	0.3938306389
23	0.3911753009
24	0.3877457049
25	0.3852191003
26	0.3830466494
27	0.3810340466
28	0.3794057713
29	0.377512744
30	0.374845094
31	0.3733712302
32	0.3708666405
33	0.3693162613
34	0.3679028523
35	0.3666151072
36	0.3649133005
37	0.3636549451
38	0.3622720518
39	0.3611833587
40	0.360273853
41	0.3585896764
42	0.3572573192
43	0.3558098682
44	0.3547010032
45	0.3534904448
46	0.3520624328
47	0.3509512249
48	0.3501626898
49	0.3489724538
50	0.3480779114
51	0.3471961948
52	0.3461277548
53	0.3453325984
54	0.3445455006
55	0.3435888277
56	0.3429792024
57	0.3424357761
58	0.3418739971
59	0.3410866923
60	0.3402319227
61	0.3394201287
62	0.3387187291
63	0.3379353922
64	0.3373864976
65	0.3369949483
66	0.3365637933
67	0.3357810379
68	0.3354330155
69	0.334851554
70	0.3344429714
71	0.3339328979
72	0.3333791163
73	0.3328911368
74	0.3326389381
75	0.3319437003
76	0.3315369388
77	0.3313600096
78	0.3305732189
79	0.3301108106
80	0.329508601
81	0.3291569732
82	0.3282389141
83	0.3278233115
84	0.3274452379
85	0.3268580339
86	0.3264996487
87	0.326241414
88	0.3258153468
89	0.3253671893
90	0.3247819453
91	0.3241798458
92	0.3236271516
93	0.3232631562
94	0.3229290789
95	0.3226555494
96	0.3223179887
97	0.3220212911
98	0.3215910839
99	0.3211999882
100	0.3204652039
101	0.3201452372
102	0.3199189227
103	0.3194469103
104	0.3187139769
105	0.3184062209
106	0.318177928
107	0.3177397313
108	0.3173834013
109	0.3169700987
110	0.316812095
111	0.316559221
112	0.3161933916
113	0.3157415689
114	0.3154133036
115	0.31528277
116	0.3146898542
117	0.3145471511
118	0.3140815231
119	0.3137932943
120	0.3135636334
121	0.3131838555
122	0.3125373622
123	0.3121574218
124	0.3118836036
125	0.3117691786
126	0.3116174605
127	0.3114208584
128	0.3111950112
129	0.3108662008
130	0.3104701542
131	0.3102266042
132	0.3101335552
133	0.3097294661
134	0.3094416187
135	0.3091936952
136	0.3086426324
137	0.3081934946
138	0.3079449149
139	0.307834436
140	0.3077167074
141	0.3073715021
142	0.3072348749
143	0.3068031503
144	0.3065799068
145	0.3063590884
146	0.3059159827
147	0.3056452203
148	0.3054848868
149	0.3053370997
150	0.3051670894
151	0.3050307969
152	0.3048853381
153	0.304626578
154	0.3043515494
155	0.3043111946
156	0.3040675015
157	0.3039217096
158	0.3035581922
159	0.3033523004
160	0.3032313319
161	0.3028044934
162	0.3026930383
163	0.3025734086
164	0.3022305533
165	0.3019414452
166	0.3017993739
167	0.301609094
168	0.3014075608
169	0.3012041908
170	0.3010372166
171	0.3009770987
172	0.3007814858
173	0.3006036891
174	0.3004283345
175	0.300257306
176	0.3000742412
177	0.2998762305
178	0.2994376121
179	0.299242255
180	0.298948094
181	0.298504431
182	0.2982579435
183	0.2980968274
184	0.2976346789
185	0.2975136474
186	0.2970613632
187	0.2968649035
188	0.29648575
189	0.2962279909
190	0.2959813127
191	0.2958337177
192	0.2956922688
193	0.2954852267
194	0.2952484292
195	0.2950291911
196	0.2948638603
197	0.2947293227
198	0.2945816794
199	0.2943977306
200	0.2941891873
201	0.2939628318
202	0.2937275357
203	0.2933055674
204	0.2931606379
205	0.2930020602
206	0.2928488466
207	0.2924941627
208	0.2923240443
209	0.2920852838
210	0.2918199928
211	0.2915847759
212	0.2913311045
213	0.2912033363
214	0.290816566
215	0.2904786278
216	0.290297795
217	0.2901084417
218	0.2899341567
219	0.2898395435
220	0.289748825
221	0.2895265057
222	0.2893918411
223	0.2892187369
224	0.2890593291
225	0.2889261172
226	0.2887928891
227	0.2886484036
228	0.2884017881
229	0.2880983461
230	0.2880217551
231	0.2877723637
232	0.2875422068
233	0.2872656142
234	0.2871283305
235	0.2868769912
236	0.2866922024
237	0.2864724701
238	0.286364017
239	0.2862518446
240	0.2859182107
241	0.2858106666
242	0.2856109977
243	0.2854601152
244	0.2852912572
245	0.2851949834
246	0.2850211097
247	0.2848827732
248	0.2847453454
249	0.2845999858
250	0.2844714669
251	0.2843426132
252	0.2841416536
253	0.2840251232
254	0.2839126296
255	0.2837286059
256	0.2836113575
257	0.2834276383
258	0.2832378206
259	0.2830815581
260	0.2829522387
261	0.2828139662
262	0.2826604644
263	0.2825115284
264	0.2823738943
265	0.2822627592
266	0.2820221945
267	0.2818147722
268	0.2815260324
269	0.2814267738
270	0.2812937535
271	0.2812150556
272	0.2810515771
273	0.2808073726
274	0.2806957405
275	0.280586266
276	0.2804432678
277	0.2802604408
278	0.2800117683
279	0.2799007288
280	0.2797430131
281	0.2796512413
282	0.2795058483
283	0.2793444935
284	0.2792468636
285	0.2790980562
286	0.2789926518
287	0.2788854422
288	0.2787743717
289	0.2786158643
290	0.278454459
291	0.2783192193
292	0.2780791506
293	0.2779144585
294	0.2777797134
295	0.2776719581
296	0.2775729393
297	0.2773984463
298	0.277158154
299	0.2769084747
