iter	Passed	Remaining
0	18	5506
1	31	4686
2	44	4415
3	57	4234
4	69	4090
5	81	3978
6	93	3903
7	105	3832
8	117	3795
9	129	3745
10	141	3715
11	153	3684
12	166	3665
13	179	3659
14	191	3631
15	202	3599
16	214	3564
17	226	3554
18	239	3537
19	251	3525
20	264	3511
21	276	3497
22	288	3478
23	300	3459
24	312	3434
25	324	3415
26	335	3395
27	347	3371
28	359	3362
29	371	3346
30	383	3331
31	396	3317
32	407	3301
33	419	3285
34	431	3265
35	442	3248
36	455	3236
37	467	3221
38	479	3207
39	561	3652
40	589	3725
41	605	3720
42	618	3693
43	630	3666
44	642	3639
45	653	3608
46	665	3580
47	677	3556
48	689	3530
49	700	3504
50	712	3478
51	724	3456
52	736	3433
53	748	3410
54	761	3390
55	772	3367
56	784	3345
57	796	3323
58	808	3300
59	819	3278
60	831	3258
61	843	3238
62	855	3219
63	867	3198
64	879	3180
65	892	3163
66	904	3144
67	916	3125
68	928	3107
69	940	3091
70	953	3074
71	965	3057
72	977	3038
73	988	3018
74	999	2999
75	1012	2983
76	1024	2965
77	1036	2948
78	1048	2932
79	1059	2914
80	1071	2897
81	1084	2882
82	1097	2869
83	1109	2852
84	1121	2835
85	1133	2820
86	1144	2802
87	1156	2785
88	1167	2767
89	1179	2752
90	1191	2737
91	1203	2721
92	1215	2704
93	1227	2689
94	1239	2675
95	1251	2659
96	1262	2641
97	1277	2632
98	1289	2618
99	1302	2605
100	1314	2590
101	1326	2574
102	1338	2560
103	1350	2545
104	1362	2529
105	1373	2513
106	1385	2498
107	1397	2484
108	1409	2469
109	1421	2455
110	1432	2439
111	1444	2425
112	1456	2410
113	1468	2395
114	1480	2382
115	1492	2368
116	1504	2353
117	1516	2339
118	1528	2324
119	1540	2311
120	1552	2297
121	1564	2282
122	1576	2268
123	1588	2254
124	1599	2239
125	1611	2225
126	1623	2211
127	1635	2197
128	1647	2183
129	1658	2169
130	1671	2156
131	1682	2141
132	1695	2129
133	1706	2114
134	1719	2102
135	1731	2087
136	1743	2074
137	1756	2061
138	1769	2049
139	1781	2035
140	1793	2022
141	1804	2008
142	1816	1994
143	1828	1981
144	1840	1967
145	1852	1953
146	1863	1939
147	1875	1926
148	1887	1913
149	1899	1899
150	1910	1885
151	1923	1872
152	1934	1859
153	1946	1845
154	1959	1832
155	1971	1819
156	1983	1806
157	1995	1793
158	2006	1779
159	2020	1767
160	2033	1755
161	2046	1743
162	2057	1729
163	2069	1716
164	2081	1702
165	2092	1689
166	2104	1675
167	2119	1665
168	2135	1654
169	2149	1644
170	2164	1632
171	2177	1620
172	2190	1608
173	2202	1594
174	2214	1582
175	2229	1570
176	2242	1558
177	2255	1546
178	2268	1533
179	2281	1521
180	2294	1508
181	2307	1496
182	2321	1483
183	2334	1471
184	2346	1458
185	2358	1445
186	2371	1433
187	2384	1420
188	2397	1407
189	2412	1396
190	2425	1384
191	2437	1370
192	2448	1357
193	2461	1344
194	2473	1331
195	2486	1319
196	2498	1306
197	2511	1293
198	2526	1282
199	2537	1268
200	2549	1255
201	2560	1242
202	2573	1229
203	2584	1216
204	2596	1203
205	2607	1189
206	2619	1177
207	2631	1163
208	2642	1150
209	2653	1137
210	2666	1124
211	2678	1111
212	2690	1098
213	2702	1085
214	2714	1073
215	2727	1060
216	2739	1047
217	2751	1035
218	2764	1022
219	2776	1009
220	2788	996
221	2799	983
222	2811	970
223	2823	958
224	2835	945
225	2847	932
226	2859	919
227	2872	907
228	2885	894
229	2897	881
230	2909	869
231	2921	856
232	2934	843
233	2947	831
234	2959	818
235	2972	806
236	2984	793
237	2996	780
238	3009	768
239	3021	755
240	3032	742
241	3044	729
242	3057	717
243	3069	704
244	3081	691
245	3092	678
246	3104	666
247	3116	653
248	3129	640
249	3142	628
250	3154	615
251	3166	603
252	3177	590
253	3188	577
254	3200	564
255	3212	552
256	3224	539
257	3237	527
258	3249	514
259	3262	501
260	3274	489
261	3286	476
262	3299	464
263	3311	451
264	3323	438
265	3337	426
266	3350	414
267	3362	401
268	3374	388
269	3386	376
270	3399	363
271	3411	351
272	3423	338
273	3436	326
274	3467	315
275	3481	302
276	3496	290
277	3508	277
278	3530	265
279	3551	253
280	3583	242
281	3595	229
282	3608	216
283	3622	204
284	3634	191
285	3645	178
286	3657	165
287	3669	152
288	3681	140
289	3694	127
290	3706	114
291	3717	101
292	3730	89
293	3742	76
294	3754	63
295	3767	50
296	3779	38
297	3791	25
298	3803	12
299	3816	0
