feature,xgb_importance,mean_abs_shap,perm_importance,xgb_importance_norm,mean_abs_shap_norm,perm_importance_norm,avg_importance
duration,0.041944668,1.4545828,0.07745362812880098,0.20579249,1.0,1.0,0.7352641622225443
duration_category,0.18708552,0.36734626,0.0030011682990846,1.0,0.24414751,0.03888571100227406,0.4276777401129152
contact,0.11052544,0.49719888,0.007905023686063606,0.58106494,0.33442175,0.10219007320042964,0.33922558886089765
previous_campaign_success,0.14908493,0.25194934,0.0006981787337558721,0.7920616,0.16392298,0.009156187173074145,0.3217135981706598
nr.employed,0.09636911,0.2033382,0.002384910537097462,0.50360185,0.13012826,0.03093037759749118,0.22155349703460278
contact_frequency,0.052114353,0.31067002,0.012989875408104489,0.26144078,0.2047459,0.16783093528431176,0.2113392075448616
campaign,0.02122981,0.43599707,0.014557426701235564,0.092441246,0.29187393,0.18806661252064408,0.19079393010630508
month,0.02161452,0.3888886,0.008927785513091369,0.09454638,0.25912386,0.11539300844858728,0.15635441596571156
day,0.015078786,0.41119933,0.008417554894052891,0.05878298,0.27463442,0.10880639009153598,0.1474079302697571
loan,0.041721106,0.13599285,0.0007770989373279801,0.20456916,0.08330943,0.010174976015205695,0.09935118795239777
cons.conf.idx,0.023445357,0.20402992,0.0040886466935535545,0.104564674,0.13060915,0.052924078925790916,0.09603263594188377
emp.var.rate,0.03760877,0.135607,0.0007968039818193606,0.18206656,0.08304118,0.010429350415585716,0.0918456979525481
age_group,0.00816072,0.26462,0.006040146277447034,0.020927478,0.1727317,0.07811618324770239,0.09059178614501724
age,0.00849192,0.23359454,0.007340479162665681,0.022739802,0.15116262,0.09490231119156999,0.08960157903552428
default,0.0408969,0.0938456,0.000867422060047407,0.20005912,0.05400843,0.011340966286999068,0.08846950463544728
housing,0.025766099,0.17475392,0.0019766060111388816,0.11726373,0.11025632,0.02565953342311772,0.08439319401381146
pdays,0.008449043,0.2502228,0.004502652679085872,0.022505179,0.16272269,0.05826852381499629,0.08116546491871947
euribor3m,0.015253417,0.18948755,0.002257077811919872,0.05973856,0.120499216,0.029280172096548648,0.06983931654256521
cons.price.idx,0.015301507,0.16360678,0.0025614557326675614,0.06000171,0.10250677,0.03320941727602435,0.06523929917561992
education,0.0131236715,0.19588538,0.001457073010690757,0.04808464,0.12494702,0.018952829689237116,0.06399482920780865
poutcome,0.011457636,0.15613464,0.0017508482171436413,0.03896813,0.09731209,0.022745203363940453,0.05300847569705557
has_economic_data,0.027161932,0.016158558,-1.1102842327614937e-05,0.12490169,0.0,0.0,0.04163389652967453
previous,0.007282145,0.08679632,0.0011405919915498885,0.016119938,0.049107738,0.014867344395822463,0.02669834019293592
job,0.00460088,0.11841193,0.00033788649894374024,0.0014481172,0.07108708,0.004505138492011608,0.025680110982862967
balance,0.006042455,0.08832534,0.0006568681582485358,0.009336382,0.05017072,0.008622904800703513,0.02271000219163974
marital,0.0058530485,0.056258213,0.00024466263363425166,0.008299954,0.02787749,0.0033017022424978327,0.013159715194306185
day_of_week,0.004336238,0.03953465,0.00036199267012356764,0.0,0.01625118,0.004816327479278753,0.00702250260008564
