feature,importance_mean,importance_std
worst concave points,0.007341269841269915,0.004759607764635471
worst area,0.003885582010582056,0.004690786771231425
mean concave points,0.0027943121693122185,0.0012249964578036573
worst perimeter,0.0024305555555556467,0.0044514377634024575
worst texture,0.0017195767195767654,0.0008724144152296637
worst concavity,0.0011078042328042993,0.001393310704879784
worst smoothness,0.0010085978835979615,0.0007071231739531454
mean texture,0.0007440476190477164,0.000573960150717921
radius error,0.0005787037037037757,0.0005739601507178938
concave points error,0.0005456349206349964,0.0002458014012453565
mean smoothness,0.0005456349206349742,0.000277166908304243
worst fractal dimension,0.000529100529100568,0.00024300493479990703
smoothness error,0.0004298941798942524,0.00015154020155277195
perimeter error,0.000429894179894208,0.0002882869671653921
mean fractal dimension,0.0003472222222222987,0.0001373449712783841
worst compactness,0.0003472222222222765,0.0005456349206349272
fractal dimension error,0.00029761904761909096,0.00024300493479988583
texture error,0.0002810846560847291,0.00023441545765140256
worst radius,0.00026455026455035613,0.002072017221933922
symmetry error,0.0002480158730159054,0.0001524395578255592
compactness error,0.0001984126984127421,0.0003119702755309646
mean compactness,0.00018187830687832474,0.0005555653973681007
mean radius,0.00016534391534397396,0.0005533465783955517
mean concavity,0.00011574074074082175,0.00101130480710138
area error,3.3068783068801455e-05,0.0009859822431134908
concavity error,-1.6534391534339667e-05,0.0001157407407407266
mean symmetry,-0.0001818783068782581,0.00020182796983685486
worst symmetry,-0.00021494708994700406,0.0005871455325583534
mean perimeter,-0.00021494708994704848,0.000467955413296418
mean area,-0.0003306878306877925,0.0006274360436842088
